recovered,total_hospitalized,deaths,date,hospitalized_today,active,district,isolation,observation,confirmed
,530,,2020-7-23,67,555,Kannur,13231,13761,
,236,,2020-6-23,30,125,Kannur,17132,17368,
,197,,2020-6-2,14,115,Kannur,13952,14149,
,416,,2020-7-2,102,217,Kannur,22335,22751,
42788,520,248,2021-1-29,77,3887,Kannur,12435,12955,46943
38422,395,217,2021-1-8,51,2791,Kannur,12722,13117,41443
44105,554,260,2021-2-4,66,4191,Kannur,12874,13428,48577
46544,387,270,2021-2-12,44,3505,Kannur,13904,14291,50345
,388,,2020-8-9,73,448,Kannur,8674,9062,
,7,,2020-3-12,4,4,Kannur,144,151,
3538,1471,34,2020-9-9,249,1521,Kannur,11649,13120,5095
